GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model,com.exist.model,Matrix,0,71,0,4,0,22,0,10,0,8
model,com.exist.model,Content,6,32,0,0,1,12,1,7,1,7
